WEEK_STARTING,mean_util,median_util,p90_util
2019-06-17,1.1190564397269542,1.1037532986111112,1.814318784722222
2019-06-24,1.262072051129426,1.1332672123015874,2.4349867619047623
2019-07-01,1.7559829471242017,1.6959325198412696,3.42509921230159
2019-07-08,1.2967085290172604,1.1058201091269841,2.73657405952381
2019-07-15,1.5664772496611132,1.5448081994047618,2.848710310515873
2019-07-22,1.3345057087614869,1.249834662698413,2.519097215277779
2019-07-29,1.2764497599386906,1.233961636904762,2.275380284722222
2019-08-05,1.352655650613842,1.2526455059523809,2.465773793650794
2019-08-12,1.1527816908168527,1.0658068849206348,2.1642857083333333
2019-08-19,0.99923891872811,0.8999669345238095,1.9656415376984122
2019-08-26,0.9869713823668559,0.9075727579365079,1.8894510615079374
2019-09-02,0.844080687780089,0.7570271130952382,1.7141203720238096
2019-09-09,0.7379252212515702,0.6554232837301588,1.4942956349206349
2019-09-16,1.191296415289793,1.0871362500000001,2.3193121666666667
2019-09-23,0.729457381054986,0.6087962996031746,1.5392195793650796
2019-09-30,0.6818710910682934,0.5539021130952381,1.4951388869047622
2019-10-07,0.10232356865662932,0.08358134920634921,0.1961474880952381
