dur_bucket,n,mean_price,mean_distance,p25,p75
"(0, 5]",76604,4.820778549423006,0.2211099942561746,1.06,8.1
"(5, 10]",53519,6.566983688036025,0.7958300790373511,3.53,9.47
"(10, 15]",32081,5.983989900564197,1.2240868426794675,3.02,8.7
"(15, 20]",20433,5.539323153721921,1.598003230069006,2.55,8.2
"(20, 25]",14243,5.095376676262023,1.8964754616302746,2.13,7.64
"(25, 30]",9634,4.61091343159643,2.0994073074527715,1.78,6.9775
"(30, 35]",6653,4.295592965579438,2.3150698932812266,1.58,6.52
"(35, 40]",4660,3.6365257510729614,2.26662660944206,1.18,5.6025
"(40, 45]",3352,3.2638752983293555,2.305384844868735,0.99,5.012499999999999
"(45, 50]",2463,2.917701989443768,2.301380430369468,0.82,4.5
"(50, 55]",1979,2.5980747852450734,2.2658514401212733,0.73,3.86
"(55, 60]",1529,2.284434270765206,2.186965336821452,0.54,3.43
