,actual,forecast
2019-06-21,3908.87,
2019-06-22,19059.48,
2019-06-23,12796.65,
2019-06-24,11698.58,
2019-06-25,10327.36,
2019-06-26,4438.57,
2019-06-27,4458.04,
2019-06-28,5295.46,
2019-06-29,5068.44,
2019-06-30,8277.4,
2019-07-01,8145.85,
2019-07-02,6708.2,
2019-07-03,6628.84,
2019-07-04,9840.83,
2019-07-05,11495.74,
2019-07-06,17145.87,
2019-07-07,11626.49,
2019-07-08,5071.7,
2019-07-09,6438.96,
2019-07-10,7394.8,
2019-07-11,7743.81,
2019-07-12,7568.98,
2019-07-13,11926.55,
2019-07-14,11969.88,
2019-07-15,8762.99,
2019-07-16,10377.22,
2019-07-17,12504.67,
2019-07-18,12462.99,
2019-07-19,12861.52,
2019-07-20,14456.22,
2019-07-21,12266.23,
2019-07-22,11097.7,
2019-07-23,13288.5,
2019-07-24,13003.37,
2019-07-25,12669.44,
2019-07-26,13547.97,
2019-07-27,19224.56,
2019-07-28,19376.49,
2019-07-29,12762.52,
2019-07-30,15729.48,
2019-07-31,11847.11,
2019-08-01,13749.57,
2019-08-02,14371.57,
2019-08-03,20702.51,
2019-08-04,16547.35,
2019-08-05,14916.55,
2019-08-06,15145.81,
2019-08-07,16447.27,
2019-08-08,14945.64,
2019-08-09,18106.55,
2019-08-10,22993.3,
2019-08-11,19090.33,
2019-08-12,14136.35,
2019-08-13,13377.9,
2019-08-14,13457.35,
2019-08-15,15586.58,
2019-08-16,18472.97,
2019-08-17,19877.64,
2019-08-18,12422.02,
2019-08-19,12401.67,
2019-08-20,12606.12,
2019-08-21,12296.87,
2019-08-22,11951.8,
2019-08-23,13520.84,
2019-08-24,16593.62,
2019-08-25,13747.51,
2019-08-26,9647.96,
2019-08-27,12123.7,
2019-08-28,11909.34,
2019-08-29,11757.52,
2019-08-30,14087.92,
2019-08-31,16641.5,
2019-09-01,12145.57,
2019-09-02,9292.72,
2019-09-03,9435.98,
2019-09-04,10175.47,
2019-09-05,10314.99,
2019-09-06,13356.13,
2019-09-07,13641.77,
2019-09-08,11778.29,
2019-09-09,5642.61,
2019-09-10,8825.22,
2019-09-11,9568.77,
2019-09-12,8861.48,
2019-09-13,10392.77,
2019-09-14,12011.47,
2019-09-15,8213.61,
2019-09-16,6431.14,
2019-09-17,5761.72,
2019-09-18,7406.14,
2019-09-19,7502.11,
2019-09-20,10328.56,
2019-09-21,12149.51,
2019-09-22,28549.91,
2019-09-23,6608.37,
2019-09-24,7929.63,
2019-09-25,6720.83,
2019-09-26,8268.0,
2019-09-27,5585.91,
2019-09-28,6917.09,
2019-09-29,4612.0,
2019-09-30,4513.24,
2019-10-01,5938.22,
2019-10-02,7551.6,
2019-10-03,6134.13,
2019-10-04,4654.43,
2019-10-05,5824.31,
2019-10-06,5315.38,
2019-10-07,604.61,
2019-10-08,,2433.03754690592
2019-10-09,,2216.6887532336596
2019-10-10,,2520.473759150603
2019-10-11,,3301.394055302228
2019-10-12,,6857.004740702169
2019-10-13,,5311.428705490188
2019-10-14,,1105.9422034718423
2019-10-15,,2100.66702215002
2019-10-16,,1884.3182284777595
2019-10-17,,2188.1032343947027
2019-10-18,,2969.023530546328
2019-10-19,,6524.634215946269
2019-10-20,,4979.058180734288
2019-10-21,,773.5716787159422
2019-10-22,,1768.2964973941196
2019-10-23,,1551.9477037218594
2019-10-24,,1855.7327096388026
2019-10-25,,2636.6530057904274
2019-10-26,,6192.263691190369
2019-10-27,,4646.687655978388
2019-10-28,,441.20115396004167
2019-10-29,,1435.9259726382195
2019-10-30,,1219.5771789659593
2019-10-31,,1523.3621848829025
2019-11-01,,2304.2824810345273
2019-11-02,,5859.893166434469
2019-11-03,,4314.317131222488
2019-11-04,,108.83062920414159
